model,configuration_id,fold,validation_size,train_pr_auc,pr_auc,roc_auc,iterations,convergence_warning_count,converged,fit_seconds
L1 Logistic,l1_c_0_30,3,5504,0.07745509219594904,0.08385456795853334,0.526597608805668,14.0,0,True,0.16183454199926928
L1 Logistic,l1_c_0_30,4,5504,0.08080451415655057,0.06793220945332969,0.49665422570850204,15.0,0,True,0.15378608299943153
L1 Logistic,l1_c_0_30,5,5504,0.07876847372458086,0.07203027414187503,0.4919199467741274,13.0,0,True,0.12866358300016145
L1 Logistic,l1_c_1_00_reference,1,5505,0.07941226886456718,0.07137793176819163,0.49152364438839846,15.0,0,True,0.3880085830023745
L1 Logistic,l1_c_1_00_reference,2,5505,0.07593201619463363,0.08565301691908964,0.5193581336696091,17.0,0,True,0.44312175000231946
L1 Logistic,l1_c_1_00_reference,3,5504,0.07809174064802973,0.0813265073918651,0.5210855263157894,17.0,0,True,0.408977416002017
L1 Logistic,l1_c_1_00_reference,4,5504,0.08141696640281383,0.06867184924207863,0.5012933324898785,21.0,0,True,0.4304892910004128
L1 Logistic,l1_c_1_00_reference,5,5504,0.07932546867839096,0.0729657064966228,0.4953348531716377,12.0,0,True,0.3823914999993576
L1 Logistic,l1_c_3_00,1,5505,0.079605545609574,0.07211774213080663,0.49261097099621687,18.0,0,True,1.0430467090009188
L1 Logistic,l1_c_3_00,2,5505,0.07570646001107936,0.0842693723492749,0.5183111601513241,44.0,0,True,1.0865622920027818
L1 Logistic,l1_c_3_00,3,5504,0.07849132655188339,0.08055053312438842,0.5220834387651823,18.0,0,True,1.0379493750006077
L1 Logistic,l1_c_3_00,4,5504,0.08189340708305326,0.06755450597904461,0.5019569205465587,26.0,0,True,1.1591852500023379
L1 Logistic,l1_c_3_00,5,5504,0.07973719739614449,0.073754986019271,0.4972570387117321,36.0,0,True,1.0891041249997215
L1 Logistic,l1_c_10_00,1,5505,0.07967405932724822,0.07214867238036365,0.4927481084489281,27.0,0,True,3.64964066599714
L1 Logistic,l1_c_10_00,2,5505,0.07580420600751117,0.08350240302793951,0.5169315889029004,31.0,0,True,3.417902832999971
L1 Logistic,l1_c_10_00,3,5504,0.07803396870479504,0.07905283161575741,0.5225626265182186,40.0,0,True,3.2345589169999585
L1 Logistic,l1_c_10_00,4,5504,0.08198487969806816,0.06745083967613383,0.5016823760121457,27.0,0,True,3.566968541999813
L1 Logistic,l1_c_10_00,5,5504,0.07972408362943599,0.0737452539793851,0.4962149089200634,25.0,0,True,3.436162833000708
RF Moderate,rf_reference,1,5505,0.15076170506416384,0.08448278744973704,0.5478855611601513,,0,True,1.875273791996733
RF Moderate,rf_reference,2,5505,0.14920524350344755,0.07866863442601543,0.5065510718789408,,0,True,1.8552499580000585
RF Moderate,rf_reference,3,5504,0.1483956714975109,0.08129671446926745,0.5415232793522267,,0,True,1.8960636250012612
RF Moderate,rf_reference,4,5504,0.1466992527316756,0.07257708819259881,0.51453125,,0,True,1.8955733750008221
RF Moderate,rf_reference,5,5504,0.1481344228901674,0.07387824416216894,0.5039348676763187,,0,True,1.8767171670006064
RF Moderate,rf_depth_8,1,5505,0.1260624834232959,0.08332735641176951,0.5335277427490542,,0,True,1.5335448339974391
RF Moderate,rf_depth_8,2,5505,0.124262069344652,0.07711427626378127,0.49740605296343,,0,True,1.5222150840018003
RF Moderate,rf_depth_8,3,5504,0.12460747026904072,0.08328360333799786,0.5360690789473684,,0,True,1.4995486660009192
RF Moderate,rf_depth_8,4,5504,0.12302450151000051,0.07147479878373139,0.5117516447368421,,0,True,1.4998951249981474
RF Moderate,rf_depth_8,5,5504,0.1232752774261488,0.07222092895231677,0.49695370168916464,,0,True,1.5331389999992098
RF Moderate,rf_depth_10,1,5505,0.13951150548849106,0.08360768160679882,0.5456062421185371,,0,True,1.6932493339991197
RF Moderate,rf_depth_10,2,5505,0.1377958204197357,0.07806173474397612,0.5007704918032787,,0,True,1.7260840000017197
RF Moderate,rf_depth_10,3,5504,0.13694286680145318,0.0828562004901879,0.5409011260121457,,0,True,1.7021166249978705
RF Moderate,rf_depth_10,4,5504,0.13567322303343374,0.07195344958540426,0.5163135754048583,,0,True,1.7083553339980426
RF Moderate,rf_depth_10,5,5504,0.13845697157055395,0.07376458533226671,0.500014820000063,,0,True,1.697876375001215
RF Moderate,rf_depth_14,1,5505,0.1585604412528743,0.08444091653505642,0.5491011979823455,,0,True,2.009456667001359
RF Moderate,rf_depth_14,2,5505,0.1568674807355764,0.07944499991405536,0.5058511979823456,,0,True,1.9892173750013171
RF Moderate,rf_depth_14,3,5504,0.15555512149437334,0.082625898039352,0.5450822368421053,,0,True,2.020158667000942
RF Moderate,rf_depth_14,4,5504,0.15533495798995833,0.07259011005618421,0.514859564777328,,0,True,2.003695624996908
RF Moderate,rf_depth_14,5,5504,0.1552573220898212,0.07393219231058915,0.5049558710849186,,0,True,2.0094386660020973
RF Moderate,rf_leaf_5,1,5505,0.17623513701933652,0.0820727997746656,0.5521276796973518,,0,True,1.9258860420013661
RF Moderate,rf_leaf_5,2,5505,0.1724605661799539,0.07693155413058748,0.5065223833543505,,0,True,1.9238795420023962
RF Moderate,rf_leaf_5,3,5504,0.1700133208659292,0.08213159642368581,0.5482632211538461,,0,True,1.9443631249996542
RF Moderate,rf_leaf_5,4,5504,0.17111182909313294,0.07117027986127145,0.5152201417004049,,0,True,1.9070172920000914
RF Moderate,rf_leaf_5,5,5504,0.17053965469167354,0.07304962894578085,0.4975865472237725,,0,True,1.9200259589997586
RF Moderate,rf_leaf_20,1,5505,0.12558973359898445,0.07984194101326413,0.5421913619167718,,0,True,1.7978992499993183
RF Moderate,rf_leaf_20,2,5505,0.1257303202509397,0.0724925496216244,0.5012276166456495,,0,True,1.7948156669990567
RF Moderate,rf_leaf_20,3,5504,0.12421562228397202,0.07971003508643866,0.5357192560728745,,0,True,1.8312220000007073
RF Moderate,rf_leaf_20,4,5504,0.12625083580939767,0.06708690409340759,0.5124996837044534,,0,True,1.8103542499993637
RF Moderate,rf_leaf_20,5,5504,0.12640712764307954,0.06836500185043469,0.5015595685172748,,0,True,1.809148082997126
RF Moderate,rf_wider_features,1,5505,0.15672041704353074,0.08494032874580335,0.5579984237074401,,0,True,3.184136166000826
RF Moderate,rf_wider_features,2,5505,0.15338447585081452,0.07978512092353711,0.5156075031525851,,0,True,3.1804612910018477
RF Moderate,rf_wider_features,3,5504,0.14846390483414706,0.07938427275598474,0.537702112854251,,0,True,3.2038717919967894
RF Moderate,rf_wider_features,4,5504,0.15128023066987153,0.07109395545592556,0.5121533400809717,,0,True,3.1952809169997636
RF Moderate,rf_wider_features,5,5504,0.14798701076924553,0.07443649537367161,0.5089635774849514,,0,True,3.229766499996913
RF Moderate,rf_fewer_trees,1,5505,0.15105793270994264,0.08492978509981508,0.5486071878940731,,0,True,1.172147875000519
RF Moderate,rf_fewer_trees,2,5505,0.1486301212208052,0.07908882484984056,0.5047767969735183,,0,True,1.1904182500002207
RF Moderate,rf_fewer_trees,3,5504,0.14806923686704795,0.08073037024286951,0.5359207363360324,,0,True,1.1917400419988553
RF Moderate,rf_fewer_trees,4,5504,0.14582691492924665,0.07271577237645466,0.5158154099190284,,0,True,1.169308042000921
RF Moderate,rf_fewer_trees,5,5504,0.1468361914128279,0.07355097459273674,0.5032976076736069,,0,True,1.1748483749979641
RF Moderate,rf_more_trees,1,5505,0.15093409844545294,0.08556456506024322,0.5539284363177805,,0,True,2.78609816700191
RF Moderate,rf_more_trees,2,5505,0.14865864299285778,0.07880597372249973,0.5058568726355611,,0,True,2.75970045899885
RF Moderate,rf_more_trees,3,5504,0.14872101172269908,0.08159454618804013,0.5424715334008097,,0,True,2.815354667000065
RF Moderate,rf_more_trees,4,5504,0.14753334491751147,0.07276151823710422,0.5164783653846154,,0,True,2.8020616249996237
RF Moderate,rf_more_trees,5,5504,0.14757924115766247,0.07360286455148687,0.5000999561706381,,0,True,2.8241089590010233
